Name,Twitter Handle,Include Real name in tweets?
Ali Atia,@AliAtia_,
Andrew Egger,@EggerDC,x
Anne Hendershott,@Annehendershott,
Breana Noble,@BreanaCNoble,
Brandon Weichert,@WetheBrandon,x
Christian Barnard,@CBarnard33,x
David Catron,@Catronicus,x
Debra J. Saunders,@debrajsaunders,
Don Surber,@donsurber,
Donald Devine,@donalddevineco1,x
Doug Bandow,@Doug_Bandow,
Erich Reimer,@ErichReimer,
Evan Maguire,@evanspectates,x
Frank Buckley,@fbuckley,x
George Neumayr,@george_neumayr,
George Parry,@lgparry,x
Grayson P. Walker,@graysonpwalker,
Greg Jones,@DrunkRepub,x
Hannah Rowan,@Hannah_Cristine,x
Itxu Díaz,@itxudiaz,
Jed Babbin,@jedbabbin,
Jeffrey Lord,@realJeffreyLord,
Jeremy Lott,@jeremylottdiary,
Jim Breslo,@JimBreslo,
Jon L. Pritchett,@tobaccoroadguy,x
Kevin R Kosar,@kevinrkosar,
Larry Alex Taunton,@LarryTaunton,
Lou Aguilar,@PaperTigersDC,x
Mark Pulliam,@MisruleofLaw,x
Mary Wishing,@maryewishing,
Matt Shapiro,@PoliticalMath,x
Melissa Mackenzie,@MelissaTweets,
Nic Rowan,@NicXTempore,x
Paul Charnetzki,@charnetzki3,x
Paul Kengor,@DrPaulKengor,
"Reed Spaulding IV, MD",@SpauldingMD,x
Robert Taylor,@TaylorColumnist,x
Scott McKay,@TheHayride,x
Stephen MacLean,@OrganicTory,x
Stephen Moore,@StephenMoore,
Steven Greenhut,@StevenGreenhut,
Wilfred Reilly,@wil_da_beast630,x
